纳兹咩🔥,无粉丝牌,-1,塔没推掉，血亏
GZ,无粉丝牌,-1,ame刷钱好快！
天天龙神,无粉丝牌,-1,单车指定菜逼，查理斯
¯—T•A•N•G•G◆,怼怼,5,91开了
逸神,无粉丝牌,-1,李逵翻盘了
ddlong,怼怼,11,f4
小小小龙,怼怼,11,飞机无敌了呀
′Jack,无粉丝牌,-1,李逵又开始带球了
Xer,怼怼,7,这才第一把，有屁用
じò ぴé苗,无粉丝牌,-1,飞机出个蝴蝶
￫ζ๓ 豪豪ˊღ,怼怼,11,牛头跑了，血亏，23333
浪子,怼怼,2,痛苦之源又去河道找眼……
北有凉城丶,怼怼,3,LGD！！！！
2118977560yy,无粉丝牌,-1,ts再打一波   可以秒活了
空白棋,怼怼,10,血亏啊，没破高
Shadow.,无粉丝牌,-1,奶啊
∞ 小低调的过日子,无粉丝牌,-1,"先打毛子，再斩李逵，横扫EG,"
我又不乱来哈,Aniu,2,大老师怎么看？？？
尼姑庵中的小和尚,无粉丝牌,-1,李逵好牛逼，李逵冠军
心里没点逼数,无粉丝牌,-1,李逵强无敌
鸭子T⑩,怼怼,9,你可能不赚，我绝对血亏
NGTF1n_8,无粉丝牌,-1,李逵无敌，强，血强！
无聊的西瓜,无粉丝牌,-1,又亏了，xnova又死了
天下如鸿,丛林,5,李逵无敌
伤丶逝,无粉丝牌,-1,李逵赚大了
鹌鹑丶,无粉丝牌,-1,Xnova研究过对面的眼位啊
只看SB龙,怼怼,12,李逵强无敌啊 LGD不知道怎么赢
乔斯提斯,怼怼,14,李逵强无敌
不萌琦,怼怼,11,李逵牛逼，李逵无敌
診晞,无粉丝牌,-1,下个顿关键
NeverMore,无粉丝牌,-1,呵呵，经济拉不开的蓝字脸疼么
♥›         莫   離¡ღ,怼怼,6,真的打得精彩
蹲厕哼情歌-Adobe,怼怼,8,LGD咚咚咚
痛哭之源,怼怼,6,不准跑。给我打。。。
zhou宝龙tony,无粉丝牌,-1,卫冕冠军强无敌
honly945,怼怼,6,LGD 这个执行力在以前的比赛没看到过。
∞ 小低调的过日子,无粉丝牌,-1,"先打毛子，再斩李逵，横扫EG,"
蔷薇革命,无粉丝牌,-1,李逵天下无敌
别闹我有刀,怼怼,7,看看大老师
浪里个浪,无粉丝牌,-1,血亏，牛头没死
JOSHUA,无粉丝牌,-1,咯咯咯咯
高山吹雪,无粉丝牌,-1,对面是Vp就敲gg了呀
汉末冬初。,童子,9,恭喜李逵卫冕冠军
sunke461_01,无粉丝牌,-1,看看大老师
晨晖,无粉丝牌,-1,李逵必胜
Freeman,无粉丝牌,-1,李逵天下第一
撒撒,怼怼,8,哇，14k了
nananan,无粉丝牌,-1,血亏这波
无根鸟,无粉丝牌,-1,这有几条路啊
sunke461_01,无粉丝牌,-1,看看大老师
1248227740yy,无粉丝牌,-1,快奶李逵。。。。。快。。。我还能再奶一口
Rip,怼怼,5,血亏啊
小贝,无粉丝牌,-1,大老师的数据
我才发现可以改名,怼怼,5,rua
我是一颗小虎牙,怼怼,11,李逵要双冠了！加油！
我又不乱来哈,Aniu,2,大老师怎么看？？？？
天秀,怼怼,8,李逵：带球吧，比赛刚刚开始
2210540147yy,无粉丝牌,-1,LGD后期打不过李逵
騮騮不在家,无粉丝牌,-1,李逵带球无敌啊
输尿管挨刀前,怼怼,7,奶死李逵
sunke461_01,无粉丝牌,-1,看看大老师
smj1855523333,无粉丝牌,-1,Xnova真是3000经济打出10000的作用
星游梦,无粉丝牌,-1,不吃符就是蠢
筱谕,楚河,10,弹幕狂奶李逵。。。
尼姑庵中的小和尚,无粉丝牌,-1,李逵无敌
Cheer,怼怼,9,睡maybe拉猴子 神操作
彭于晏,无粉丝牌,-1,LGD用了凌仕好强
肥肥禅师,傑斯,10,1换4老干爹血亏 这把李逵稳了
sunke461_01,无粉丝牌,-1,看看大老师
出门闷肉山,怼怼,12,老干爹！咚咚咚！
沉寂e,怼怼,11,？？？？？？？？
『暗影鬼泣』,无粉丝牌,-1,李逵牛逼
树(tree)新(new)风(bee),无粉丝牌,-1,快红绿灯了
请叫我野八,无粉丝牌,-1,"<img src=""//a.msstatic.com/huya/emot_2/yw.gif"" alt=""[疑问]"" />"
sunke461_01,无粉丝牌,-1,看看大老师
路人→_一个,无粉丝牌,-1,哈哈哈
我家有女叫茂茂,孤存,3,李逵敢放精灵飞机这是看不起老干爹
honly945,怼怼,6,VG  newbee 都没这个执行力， 就是瞎逼打
1769145472yy,无粉丝牌,-1,哈哈
黑色浪漫,无粉丝牌,-1,李逵天下无敌  李逵冠军
谭同学,无粉丝牌,-1,学学怎么吃符啊
别闹我有刀,怼怼,7,看看大老师，龙神
卖女孩的小火柴,无粉丝牌,-1,奶李逵啊
薄荷味薯条,无粉丝牌,-1,问问大老师怎么看
peach,怼怼,3,别吹了啊
Xiao2是小饭碗,怼怼,10,血亏，竟然没破塔
高山吹雪,无粉丝牌,-1,别耐压
峰,怼怼,12,L G D！！！咚咚咚！！！
矮的萌的池,无粉丝牌,-1,看一手大老师
高轩,无粉丝牌,-1,"血亏，李逵节奏更好了<img src=""//a.msstatic.com/huya/emot_2/66.gif"" alt=""[666]"" />"
壕苏亲爹,怼怼,10,牛头：你可能血赚，但我绝对不亏
野见愁,怼怼,7,吃F不积极的都走了
小狮子头,无粉丝牌,-1,...........
owuchangyuo,怼怼,13,吃符不积极的，已经滚回家了！！o
渊魇,怼怼,12,李逵强无敌 李逵成功卫冕
鹌鹑丶,无粉丝牌,-1,xnova这功课做的    研究过啊
风逝水蓝,怼怼,10,中国队就lgd重视吃f
啊蕾蕾,无粉丝牌,-1,执行力呀
输尿管挨刀前,怼怼,7,李逵牛壁
一个男孩,无粉丝牌,-1,李逵无敌
1754164525yy,无粉丝牌,-1,经济红绿灯了
╰ 、» Anye丶大乔流水,无粉丝牌,-1,别奶了啊
比利海灵顿～van,无粉丝牌,-1,neebee吃服
荒野大镖客,无粉丝牌,-1,之前的队=====VG
郑老英雄,无粉丝牌,-1,不用多说李奎冠军了
高山吹雪,无粉丝牌,-1,别奶
T.,无粉丝牌,-1,活活奶死
果冻,无粉丝牌,-1,李逵
✿゛月魂 ゛✿,Aniu,5,别奶了呀
陈皮,怼怼,10,............
RTZ,怼怼,14,李逵忒强了吧
我是一颗小虎牙,怼怼,7,老干爹强无敌 冠军盾已到手
SHenMeGuI｀┶,怼怼,1,李逵雪强
虎牙收音机,怼怼,10,看看大老师
英国小龙人总代理,怼怼,6,英勇无比的查理斯
口吐泡泡的秀不死你,怼怼,20,很吊
上帝的秘密,无粉丝牌,-1,牛逼啊
无证骑士,无粉丝牌,-1,打的都好叼
peach,怼怼,3,奶李逵啊
达达,怼怼,5,别奶。。
开飞机的舒克,无粉丝牌,-1,李逵真心强无敌
sora,无粉丝牌,-1,不是一个档次
林初九,怼怼,4,暗示newbee不吃福
╰ 、» Anye丶大乔流水,无粉丝牌,-1,李逵好强啊
LzzZd,怼怼,9,都很吊
伤丶逝,无粉丝牌,-1,"<img src=""//a.msstatic.com/huya/emot_2/sh.gif"" alt=""[送花]"" />李逵稳了后期美如画"
GZ,无粉丝牌,-1,查皇哪把不叼啊
GloriaTang,楚河,10,李逵六倍 买个梦想
小小小龙人,怼怼,8,东南亚不服 我也吃得多啊
嘟嘟,无粉丝牌,-1,老干爹又要被舔上天
Revo,怼怼,13,五个人都很吊
曲江小飞鱼,无粉丝牌,-1,别奶了
花落总有花开日,怼怼,7,英勇无比啊
(YU  _。）,无粉丝牌,-1,痛苦又去那个位置排眼了，好玩
o.o,怼怼,8,东南亚？
lamzounlin,无粉丝牌,-1,那个横扫eg的能不能封一下
JeffnS,无粉丝牌,-1,vg赢了吗
高山吹雪,无粉丝牌,-1,李逵无敌好吧
441,无粉丝牌,-1,不是每个人都叼吗
2210540147yy,无粉丝牌,-1,李逵两连冠
虚妄之诺,怼怼,7,OB死命令
伯纳乌,怼怼,10,那ob也不弱了
小贝,无粉丝牌,-1,大老师
小明430,无粉丝牌,-1,别奶啊。查理斯彩笔啊
天天龙神,无粉丝牌,-1,单车
正在加载……,SgCC,8,别奶别奶
疯流0少姩,无粉丝牌,-1,。。。
"❉ Shx.丶﹎﹎{阳 阳}〃＊,眷恋≯",无粉丝牌,-1,别奶三号位了呀，妈耶
笨蛋 ╮,怼怼,9,别奶了呀啊
不语知心,怼怼,10,这把都屌啊
话多亦是死,怼怼,11,英勇无比的查理斯
0,无粉丝牌,-1,英勇无比的查理斯
丶S,无粉丝牌,-1,全是奶李逵的
镜花水月,魂潍,3,李逵：你可能血赚，但我永远不亏
小思念,无粉丝牌,-1,查理死英勇无比
我是河大黑－_－,怼怼,3,还是李逵赚了 高地都没破
番薯,怼怼,8,XNOVA也厉害啊
一方通行,怼怼,10,别吹了啊
事外(づ ●─● )づ逃缘,无粉丝牌,-1,龙神奶起来
1111,怼怼,8,别奶了呀，李逵赢了
秋名山车神,怼怼,10,lgd5个人都屌啊
小龙人℃扬眉吐气℃,无粉丝牌,-1,奶奶奶，奶你妹
你经历过绝望么,怼怼,3,之前是大家都打输了，被压制了啊。不敢去吃服
BAKUman,无粉丝牌,-1,你们这些老B能不吹了么
黄翔大帅逼,怼怼,13,李逵牛壁啊
恋雪(KaMan),怼怼,4,不全力压制下么？
大虎牙,无粉丝牌,-1,英勇无比的查理斯
高山吹雪,无粉丝牌,-1,李逵后期随便翻、
养猪大户zhudd,怼怼,7,英勇无比的_____!
小小小龙,怼怼,11,吃F就是执行力啊
树敌三千又何妨,PP秋,10,李逵无敌
Veronica,怼怼,8,五个人打得都好啊这盘
512,无粉丝牌,-1,...........
RTZ,怼怼,14,连冠了呀 液体
你的样子,怼怼,11,这把有不叼的？？？？
皮皮虾,怼怼,7,李逵要翻了 啊
笨蛋 ╮,怼怼,9,能不能别奶了呀
霜糖大油条,无粉丝牌,-1,这把五个人都吊
kirito,怼怼,14,猹🐷
╰ 、» Anye丶大乔流水,无粉丝牌,-1,李逵优势很大 牛头一直没死
qzuser,怼怼,6,dota2指定彩笔，单车
赶紧组织major,怼怼,11,英勇无比的查理斯
style丶小崽子-90327,李俊,5,疯狂毒奶
esther,无粉丝牌,-1,我们是不可战胜的
512,无粉丝牌,-1,...........
(ಥ _ ಥ),怼怼,12,lgd要输了
peach,怼怼,3,OB疯狂奶
胖虎爸爸,无粉丝牌,-1,我怎么感觉这个痛苦之源好牛逼
中二的菌菇,无粉丝牌,-1,痛苦的视野太好了
512,无粉丝牌,-1,.............
sunke461_01,无粉丝牌,-1,看看大老师啊
Monica,怼怼,14,66666666
成都笑嘻嘻,怼怼,5,英勇无比的查理斯
绯月墨色,无粉丝牌,-1,老干爹就没有一个软肋
