壹壹壹,怼怼,4,龙神每晚这样直播，王姐夜生活咋过
めぐみん,无粉丝牌,-1,大气
转移灬错,怼怼,10,龙神牛逼
打伞的橘猫,怼怼,8,？？？？？？？？？？？？
富甲天下,无粉丝牌,-1,老婆拿个凳子键盘按不到
斯嘉蒂ˉ,怼怼,4,...
琛仔仔,怼怼,8,你这个老比
刹那芳华,怼怼,14,。。。
刹那芳华,怼怼,14,260.。。
set,怼怼,15,换个圣剑，有的聊一哈
疯狂的丫点,怼怼,10,260
Livine,怼怼,11,王姐帮龙神拿个痰盂
素敵,怼怼,9,诶哟好饿
ruozhuoruoyu,怼怼,7,峰哥吃炸鸡
废纸O_o,怼怼,10,血棘换影魔
狼❥_佩佩,无粉丝牌,-1,老陈自己做川菜
长在春风里【通灵】,无粉丝牌,-1,老陈牛逼
邪恶killeR,怼怼,19,？？？？？？？
淋着雨,怼怼,6,又秀老陈咯
Kar98K,怼怼,10,200胖头鱼一口就没了
庚夕子,怼怼,11,两波都不够我自己吃的
刹那芳华,怼怼,14,。。。
,怼怼,10,胖头：我点了一个炸火鸡
丶,无粉丝牌,-1,dota 是不是又崩了？？出红条了
干干,怼怼,10,哈哈哈哈哈哈哈哈哈哈哈哈哈
OddmOmOt,怼怼,6,老陈减肥？
司宇圣,怼怼,13,2333333333333
邪恶killeR,怼怼,19,................
提妲,怼怼,6,一个人吃160.。。
刹那芳华,怼怼,14,。。。
Livine,怼怼,11,233333
吃柠檬皮,怼怼,3,.........
满堂花醉三千客,怼怼,9,几个人。。。200。。。
银杏色的初恋,怼怼,6,胖头鸡
吓死宝宝啦～o(>ω<)o,怼怼,13,点川菜
打伞的橘猫,怼怼,8,160，还是厉害啊
手机YY新人,无粉丝牌,-1,呵呵，骗人
今日不宜超鬼,无粉丝牌,-1,一个人160过分了
三儿❤,快递,11,ti6换羊刀
神秘砕月。,怼怼,10,一个人吃160有点狠
８４１４➪至尊小冰『至尊凌云』,无粉丝牌,-1,兄弟们影魔换ti6
ruozhuoruoyu,怼怼,7,峰哥200的烧烤不够他一口的
琛仔仔,怼怼,8,就龙神一个人啊
绘梨衣酱,怼怼,11,1
打伞的橘猫,怼怼,8,TI盾换烧烤
,怼怼,10,你把杨家村全杀完了不就能拿到了
冬瓜,无粉丝牌,-1,通用的
鬼斧神工,怼怼,13,上海200的烧烤有肉吗。
刷任务,无粉丝牌,-1,一个人160真的忒狠了
卧龙威武,怼怼,7,一个人六十都很多吧
星辰,怼怼,5,怎么换兄弟们
淋着雨,怼怼,6,枫哥点菜都要加头牛
☭.Yang-Daxia,怼怼,10,，，
YaphetS.坏人,怼怼,14,找人互送集卡，有的私信。
爱是一道电,怼怼,6,敌法 vs. 换所有
刹那芳华,怼怼,14,你们 吃过烧烤么。。。
Livine,怼怼,11,油焖大虾 毛豆就一波多了
青城夜雨、,无粉丝牌,-1,我一个人30烧烤吃到吐 坐标上海
夜雨声烦,无粉丝牌,-1,一个人能吃160？
dasinideshi,怼怼,4,杨家村左上角 不在村里面
沉寂e,怼怼,11,我吃个夜宵五十到顶了
菠菜外围狗老11,怼怼,14,666666
刹那芳华,怼怼,14,武汉 随便 吃点 烧烤 都是 几百了
村帅,无粉丝牌,-1,6666666
提妲,怼怼,6,跑！
我实名diss白衣老逼,怼怼,9,还没开始吗兄弟们
云淡风轻,怼怼,4,
流年,怼怼,7,影魔换ti6的，订阅我
絮,怼怼,8,备马
qq_qfwl3wwjqy5o,无粉丝牌,-1,迅速
2046,怼怼,11,666666666666666
CP9,无粉丝牌,-1,这个三儿，你要换给你发信息发不过去
伯符家的小公瑾,怼怼,14,跑
Pasha,无粉丝牌,-1,捡了就跑
富甲天下,无粉丝牌,-1,66666666
打伞的橘猫,怼怼,8,跑！
新酱,怼怼,4,dota 2甭胃
提妲,怼怼,6,23333咬牙切齿
赶紧组织major,怼怼,10,vs蝴蝶换个1236盾
壹壹壹,怼怼,4,拿把武器防不测啊
D,无粉丝牌,-1,..。。。。。。
菠菜外围狗老11,怼怼,14,枫哥牛逼
情深意重龍弟弟,怼怼,12,你没学游墙
111111111,怼怼,6,龙神龙神。你看你的微信。
D,无粉丝牌,-1,66666666
吓死宝宝啦～o(>ω<)o,怼怼,13,丐帮帮主
forever,怼怼,6,ti6换ti7有没有换的换的私聊我
三万,怼怼,12,好了
水水的卡尔,怼怼,7,胖头现在也挺可爱
梁小丑。,无粉丝牌,-1,说实话 30的烧烤真的能饱？你还吃到吐。。。
沧海lzu,怼怼,12,哈哈哈哈哈哈哈哈
素敵,怼怼,9,刚说完
眸子·纯黑色,魂潍,5,龙神马壮
提妲,怼怼,6,真的没死吗
魑魅魍魉,怼怼,10,222
ღ . 青霜剑寒,无粉丝牌,-1,30烧烤塞牙缝
流年,怼怼,7,需要一个蝴蝶，有的订阅我
马生芳,无粉丝牌,-1,我要箱子
夜雨声烦,无粉丝牌,-1,学游墙术 别急着去啊
▄█▀█●救~▄█▀█●救~▄█▀█●救,怼怼,6,30的烧烤真的能吃饱
old.m[A]g,无粉丝牌,-1,30的估计是点了米粉什么的hhhh
,怼怼,10,跑啊 断龙茎啊 一会回来报仇。。
swx tx,无粉丝牌,-1,带上蛇哥
黄翔虐杀胖头,怼怼,6,30的烧烤都没到起送价吧
壹壹壹,怼怼,4,把书扔掉
提妲,怼怼,6,30烧烤吃饱的可能点的全是烤馒头？
YQQX,怼怼,6,自己去开一下看看吧 然后秒了
灰烬,怼怼,9,走了
Naive,无粉丝牌,-1,去开
LongBB,无粉丝牌,-1,骑马ob
打伞的橘猫,怼怼,8,我龙神，看戏
EraGon.do,怼怼,2,30吃到吐怕是老鼠肉？
吓死宝宝啦～o(>ω<)o,怼怼,13,人家说的30块烧烤 15串馒头当然吐了
沉寂e,怼怼,11,表面兄弟
OddmOmOt,怼怼,6,没游墙术怎么那另一本紫霞
淋着雨,怼怼,6,好急
......,无粉丝牌,-1,在干嘛啊
挥剑问情,怼怼,5,把书丢了
今年过节不收礼,无粉丝牌,-1,先去看看是什么啊
小腿小腿天天划水龙神龙神泉水战神,怼怼,11,哈哈哈哈哈哈
大表哥,怼怼,7,广州30一打生蚝
专注√,无粉丝牌,-1,杀了啊
Livine,怼怼,11,八月鬼门开了吗
壹壹壹,怼怼,4,扔到野外去
梁小丑。,无粉丝牌,-1,点了米粉真的算烧烤？
烦恼的啊昆,无粉丝牌,-1,走
会飞的鱼,怼怼,11,qq
角落,怼怼,10,去开开看啊
今年过节不收礼,无粉丝牌,-1,把书丢了
めぐみん,无粉丝牌,-1,宝哥一打二
刹那芳华,怼怼,14,20串脆骨20串羊肉一份羊排2份土豆 一份韭菜打底
,怼怼,10,去断龙茎啊 走了。。
美妙的美妙,怼怼,9,66666666666
2046,怼怼,11,233333333333333
伯符家的小公瑾,怼怼,14,发财
Masica,无粉丝牌,-1,………
淋着雨,怼怼,6,骑马ob
灯下对影,怼怼,3,哈哈
新酱,怼怼,4,武汉晚上一个人吃30烧烤差不多了 一份土豆才5块 摊子
富甲天下,无粉丝牌,-1,下马啊
I,怼怼,10,加油
天大地大龙行天下,怼怼,13,宝哥一打二打死两个
I,怼怼,10,支持
itsTreesch,怼怼,10,11
我类名字好长额,无粉丝牌,-1,别说老鼠肉了 老鼠肉比羊肉可贵
咕咕,无粉丝牌,-1,发财去啊
武蛋蛋,无粉丝牌,-1,三块一个肉串，十个肉串吃到吐？
青城夜雨、,无粉丝牌,-1,坐标上海 满35减20 30能吃50多的 怎么不吐？
TerryChou,无粉丝牌,-1,奏乐
满堂花醉三千客,怼怼,9,没吃过，老鼠肉这么贵吗0.0
长在春风里【通灵】,无粉丝牌,-1,一群人
めぐみん,无粉丝牌,-1,一万个人
,怼怼,10,贴你脸上你踢个几把啊。。不会直接A？？？
Valonflame,无粉丝牌,-1,龙神其实可以拿了然后下线
今年过节不收礼,无粉丝牌,-1,对了啊
干干,怼怼,10,喜欢飞踢
壹壹壹,怼怼,4,书扔远点
晖子,小乖,8,上海浦东这边，一般点60左右吃不饱
良木,怼怼,5,跑啊
めぐみん,无粉丝牌,-1,骑马跑阿
今年过节不收礼,无粉丝牌,-1,丢了啊
邪恶killeR,怼怼,19,段龙井扔了啊
满堂花醉三千客,怼怼,9,龙神跑啊
扶我起来，我还能送,怼怼,10,裸屌杀手龙弟弟
old.m[A]g,无粉丝牌,-1,23333
Naive,无粉丝牌,-1,去发财啊
饭桶刺客,无粉丝牌,-1,把断龙井 扔草丛里啊
伯符家的小公瑾,怼怼,14,跑了
ruozhuoruoyu,怼怼,7,蝴蝶vs换
......,无粉丝牌,-1,上马啊
邪恶killeR,怼怼,19,吧段龙井 藏起来
满堂花醉三千客,怼怼,9,龙神快跑，发财去
烦烦烦烦烦烦烦烦烦烦烦烦烦烦烦,无粉丝牌,-1,书丢了啊
提妲,怼怼,6,宝哥这也敢上啊
暗夜膜王,怼怼,13,肉串吃红柳的，10块一串，60真的也差不多能吃饱
伯符家的小公瑾,怼怼,14,发财啊
菠菜外围狗老11,怼怼,14,666666
灯下对影,怼怼,3,快把秘籍先丢草丛里
qq_qfwl3wwjqy5o,无粉丝牌,-1,宝哥弄死了三个
创一,怼怼,7,段龙扔掉啊
