疯狂的大野熊,5,无粉丝牌,不强袭你打毛
风一样的逗比,2,无粉丝牌,一起打破僵局还行
天血大大大,28,小乌贼,打破姜菊
再见八老板,14,小乌贼,820职业和教练都是好样的 隔壁的视频看哭了
苦参兄弟,14,小僵尸,去带下路啊
我本以心照明月,11,学姐,隔壁纪录片在放传奇队长
蓝蓝cl124,4,无粉丝牌,开黑约起来
SwdLoveLhj,20,小8路,乌总你纪录片里好tm帅
睡吧你丫的,16,无粉丝牌,水晶室女
bngjqtm,2,无粉丝牌,隔壁820
萌萌哒的香蕉zZ,23,佟瑶瑶,翻盘喽
广工彭于晏a,8,不自觉,没内置cd我能吧骷髅王从河道推到泉水
Aamen1,20,小僵尸,820820820820820
VN小萝莉,5,无粉丝牌,下塔没血
惨死的TK,2,无粉丝牌,胖头鱼玩的是什么游戏？中国风版山寨吃鸡？
vccc123,3,无粉丝牌,ob
exoden,15,无粉丝牌,隔壁在放你纪录片！
tipall,21,小僵尸,银月出起来呀。。。。
ajhyg,10,无粉丝牌,。。。
亦溪生阮籍,5,无粉丝牌,核桃离nmlgb，嘴可真够欠的
就一打酱油,22,小乌贼,。。。。
斗斗抖斗抖,12,小赢僧,僵局
crazy人生bad梦,2,无粉丝牌,宝石没了
izapxoore1,14,集团军,144
DominoXX,20,口苗,145
草木逢雨而欣,13,小僵尸,姜局？
MonEverest,19,猛男,145s
苏苏的小棉袄,18,无粉丝牌,145
千里尽鹰眼,14,小赢僧,打破姜菊
疯狂的大野熊,5,无粉丝牌,sb
K丶莱昂纳德,17,小僵尸,大木和dai玩游戏是真的沉迷，玩得女朋友都没了
wszlf123,19,小乌贼,刚人不是说了带儿子上课么，说什么离婚哦
23441739,16,小乌贼,............
派大星的眼泪,20,无粉丝牌,???????
脸滚键盘ifghsjvsdjlc,6,无粉丝牌,？？？？？？
总被单车做宝搞,32,按摩师,66666
herty888,2,无粉丝牌,菜逼566
萌萌哒的香蕉zZ,23,佟瑶瑶,你看啥呢
强行打脸1111,14,小僵尸,。。。。。。
hualinkey,17,小乌贼,66666
风恋涯777,8,无粉丝牌,哈哈哈
黑咖啡杯不加糖,14,无粉丝牌,去追梦啊 少年
一对哈哈哈哈哈哈,6,无粉丝牌,144S
小林蛇年要很顺,12,无粉丝牌,那是820，现在是。。。。
鱼丶丸粗面丶,10,无粉丝牌,………
苦参兄弟,14,小僵尸,刚才中塔没破你去带下路不挺好的
xiao媳妇,18,小僵尸,141
破碎故事之心,11,小僵尸,你的胆子是真的大
lxlwei08,18,小乌贼,武侠吃鸡
乌鸡国南天门传达室,20,小乌贼,建议击毙@平安僵局
小小流狼猫,21,无粉丝牌,喜欢ob
ycztstc,13,无粉丝牌,宝石
无比丶复杂,31,小K基,送宝石了
高手丶坟墓,14,无粉丝牌,把仙仙的逼逼弄出水，
SwdLoveLhj,20,小8路,145
Losangely,3,无粉丝牌,牛皮
一竖一点念bu,13,无粉丝牌,66666666666666666666666
脸滚键盘ifghsjvsdjlc,6,无粉丝牌,你看啥呢？？？
hwh19890404,5,无粉丝牌,你在玩毛呢
daowuji,3,无粉丝牌,OB致死
hualinkey,17,小乌贼,看幻想死了
百鬼莫行,17,无粉丝牌,你好蠢
VN小萝莉,5,无粉丝牌,真2
胖落落落落,16,小乌贼,峰哥菊花有点忙啊
735837914,17,无粉丝牌,66666
mutilliang,23,无粉丝牌,还有一个他们说的mmy游戏天赋也好，不过沉迷魔兽着
慢性死亡丶,10,小乌贼,去追梦吧820
兔子无心,29,小僵尸,这个切屏有点过分啊
不知名字如何起,8,无粉丝牌,打破了僵局
lhr9527,13,小僵尸,打破姜菊
毛豆侠zzz,5,无粉丝牌,gg
開火箭的贝塔,24,无粉丝牌,确定是僵局吗
御神刀丶茶荼荼,11,学姐,。。。。
军团指挥官1,20,无粉丝牌,崩了
Arise卡拉莫斯,16,无粉丝牌,145
Grasshopetrus,4,无粉丝牌,NEC大招还是厉害啊
丿繁华落寞,13,小僵尸,隔壁ti4纪录片820帅啊
微爱芒果,24,小乌贼,打破江菊
老逼俊不直播XTMBYY,21,无粉丝牌,不是 你这里都能站的
西瓜拌饭很好吃,4,无粉丝牌,追梦少年566
百胜V,4,无粉丝牌,你被大了你买个鸡儿
hualinkey,17,小乌贼,一个哥哥的
plegendboy,21,无粉丝牌,不买等啥呢？
蓝枫214,27,小僵尸,一个一个死
IamN00b,8,无粉丝牌,突然死亡
不劳而获的生活,9,小僵尸,戒网瘾了 
哇咔咔0rz,33,學习机,你控几把幻象 人都没走 你不知道吗
叫我作甚,18,无粉丝牌,成功打破僵局
丿潇洒浪一回,25,小僵尸,GG
离去之原Nico,12,小乌贼,一起打破了僵局
再吃低保食屎,26,小僵尸,好惨的姜菊
萌萌哒的香蕉zZ,23,佟瑶瑶,早了啊
mmm橘子sama丶,12,无粉丝牌,隔壁纪录片看湿了 卧槽
xiaoyin0801殷,3,无粉丝牌,一群人在你们旁边，你们在干嘛
嘿嘿很大吧,24,小乌贼,一个接一个
睡吧你丫的,16,无粉丝牌,翻盘
85826090,16,无粉丝牌,......
头酱头奖,7,无粉丝牌,轮番打破僵局
那些年想,3,无粉丝牌,江局
hualinkey,17,小乌贼,葫芦娃
闲人很忙啊,13,无粉丝牌,陷入姜菊。。。
y694282986,14,无粉丝牌,你在干嘛。。别人在中路你看下路。。
斗斗抖斗抖,12,小赢僧,姜局
我本可以忍受孤独,21,菠咕咕,刚从纪录片过来，看哭了
抬走抬走下一个,8,小乌贼,233333
它们叫我杨老师,14,小后羿,你他妈看你妈呢
听雨问月,13,无粉丝牌,再一次打破姜菊
塔拉克的天坠之火v,13,无粉丝牌,ggggg
plok8529,23,小烟头,隔壁820教练结束了  来看566
讴歌踏步来,14,飞鸽,举个鸡婆
求老仙奶我面试不过啊,15,小僵尸,买啊
总被单车做宝搞,32,按摩师,Haob
不劳而获的生活,9,小僵尸,你TM还不买等啥呢 等144S？？？
DRCZX,22,小僵尸,人人都是点子王
话无言,9,无粉丝牌,纪录片在放徐志逼
看谁敢改我的名字,16,无粉丝牌, 竹马
jikuo555,15,无粉丝牌,峰哥菊花不保啊
Arise卡拉莫斯,16,无粉丝牌,买啊
萌萌哒的香蕉zZ,23,佟瑶瑶,还有2分钟
千里尽鹰眼,14,小赢僧,仙仙陷入姜菊？？
苏苏的小棉袄,18,无粉丝牌,握草
为你我受冷风吹112,20,全针,冲小强 单丝他、
cy樱花雾海,13,影魔王,控幻象人死系列
exoden,15,无粉丝牌,彩笔566！你是隔壁纪录片里的人吗
托托孤,19,无粉丝牌,刚看完纪录片，再回来看566
咕噜咕噜咕噜咕噜123,16,小乌贼,刚从纪录片过来➕1
RUA着走看冷冷,13,无粉丝牌,。。。还有tk出bkb的666
宗刳,2,无粉丝牌,大 學 妹  中 出 １５７５５１〇８９   Ⅴ 浩
令人窒息的OB秀,40,集团军,送人头先手
临了,13,无粉丝牌,你的tk可以吗
DIVALS,11,小赢僧,哪里的纪录片啊
SwdLoveLhj,20,小8路,lgd教练820
看我OB就好了,32,集团军,+1
天凉好冬,32,小僵尸,白买
谁在乎谁5,4,无粉丝牌,TI4的820好NB
萌萌哒的香蕉zZ,23,佟瑶瑶,稳赢局拖到输
jikuo555,15,无粉丝牌,追梦少年820，打破僵局566
一往而深娟,14,无粉丝牌,说TK不出BKB的2k分
backpackersjie,21,小僵尸,这里是566
kun11642100,13,无粉丝牌,TK出BKB不是很正常吗
herty888,2,无粉丝牌,"<img class=""chat-emotion"" rel=""dy101"" src=""https://shark.douyucdn.cn/app/douyu/res/page/room-normal/face/dy101.png?v=20170626"" />"
讴歌踏步来,14,飞鸽,tk还有不出bkb的？
真够臭牛逼的丶,23,无粉丝牌,tk除BKB不是很正常‘’
为你我受冷风吹112,20,全针,tk不能出bkb？
k465054868,12,小僵尸,出林肯啊
yb1203784841,18,小僵尸,对面这阵容tk不出bkb是真蠢
黄桥人家666,12,无粉丝牌,那时820
SwdLoveLhj,20,小8路,隔壁纪录片
徽调,14,小僵尸,tk不出bkb的有游戏吗
破碎故事之心,11,小僵尸,TK出BKB的多了去了
丶卡文,23,无粉丝牌,远古时代的tk无限刷新bkb
Limb枫,17,小僵尸,tk怎么不能出bkb？？？没看过比赛？？？
夜来纯,4,无粉丝牌,tk出bkb很奇怪么？
Number丶9,17,小僵尸,Bkb现在是tk的标配。你多久没玩了？？
洛阳纸贵plus,12,小僵尸,示敌以弱，懂不
老逼俊不直播XTMBYY,21,无粉丝牌,TK出BKB的不是很正常
古尔丹之血,16,无粉丝牌,有小强tk不出bkb?你是真牛逼
mamanimamiya,12,土堆,有小强出bkb有问题吗
强行打脸1111,14,小僵尸,打小强不出bkb？
sherwyn,20,小僵尸,tk不是必出bkb嘛
三冰老残粉,13,无粉丝牌,吃了？
asd63635187,17,小肚皮,纪录片的你们走错了，这里是566的直播间
蛋钉,8,无粉丝牌,奇迹哥的tk就是bkb冲脸输出
RUA着走看冷冷,13,无粉丝牌,tk不是要秀吗还出bkb？
KjonyM,25,小僵尸,哈哈哈
xuanbaobaonizaoma,10,无粉丝牌,狗币给自己吃
小仙女酥酥酥酥酥酥,21,小赢僧,··
PeAceFl,12,无粉丝牌,tk出bkb都没见过吗
VN小萝莉,5,无粉丝牌,下路没防御塔
小黑家的小豆子,19,小乌贼,23333
