继续努力aa,21,小僵尸,好虚弱
扭曲小肚皮,20,小肚皮,xgnb
围炉夜话,13,小肚皮,歪歪歪
天字一号2008,16,无粉丝牌,感觉身体被掏空
JIPIdui,19,小肚皮,开摄像头了吗今天~
山林里的兔子鸡,39,小僵尸,xglb
812264523,15,小僵尸,歪？
怒起操刀,24,小僵尸,歪歪歪
风云小飘渺,37,小肚皮,翔哥怎么说~
提笔画乌鸦,2,无粉丝牌,翔哥
xinzhe192,14,无粉丝牌,阿翔
meesky,15,无粉丝牌,向大大肚皮比炸炸还大？
Sowemiss,14,集团军,歪？
搬砖小伙,32,小肚皮,翔哥什么时候实锤下自己
铁牛想死你了,22,小肚皮,hello  小肥星
春春春生生生,2,无粉丝牌,Xg 玩炉石新冒险吧
山林里的兔子鸡,39,小僵尸,歪，妖妖铃吗
黄金大便酱,21,小僵尸,翔哥，今天干吗，别装傻混时间了
Sowemiss,14,小肚皮,歪歪歪
什么鬼字符,18,无粉丝牌,今年中国队有点凉凉
喔喔奶牛糖,26,小肚皮,hai 小肥宅
鯋鱼哲哲,28,无粉丝牌,歪歪歪，王八蛋听得到吗
陈禹锜脑残,12,小僵尸,?
鲨丨鱼辣椒,23,小僵尸,xgsb
无聊乱转,16,小僵尸,翔哥 9999999999999999999999999999
围炉夜话,13,小肚皮,xg被淘空了啊
这可怎么办咕咕咕,19,一发,xgsb
萌萌哒的雾,4,无粉丝牌,xg，玩儿星际吧，减压
叁岁可萌了,17,小肚皮,🐷
muzeper26,7,无粉丝牌,xgsb
zado的肚脐眼,28,小肚皮,崽骗自己
不劳而获的生活,9,小僵尸,果然XG来了 哈哈哈哈 有的看了
bendan明久,17,无粉丝牌,种田吧
uonozoho,21,小裆家,翔哥买个新肾吧
SeeTANcc,26,小僵尸,fvhhu
山林里的兔子鸡,39,小僵尸,xg威武
倾城丶Herosea大白,11,无粉丝牌,你唱你                    .-' _..`.
神灯长耀,7,无粉丝牌,xg玩炉石新冒险啊
搬砖小伙,32,小肚皮,翔哥牛逼
566半仙催婚wei员会,24,小僵尸,中国队最快什么时候淘汰完
静待鸡米花儿开,21,无粉丝牌,微博欺负我们烈烈
竞哥哥_7Kc,15,小肚皮,今天该查日语成绩了！
GReeeeNEZ,12,小肚皮,XGSB
齐鲁阿翔的泰坦尼克,19,小肚皮,xgnb
毒无常,23,小僵尸,你唱的是你🐴呢
kojimaharuna1,28,无粉丝牌,炉石出新冒险了
瞎舔的枫,22,小肚皮,炉石新冒险，从入门到自闭，两个区我刚好玩了两个小时
chenyijian110,14,无粉丝牌,Xgnb
倾城丶Herosea大白,11,无粉丝牌,你唱的是你🐴呢
奥尔波特罗,21,无粉丝牌,XGJB
冷月猫,4,无粉丝牌,开不开摄像头啊
bendan明久,17,无粉丝牌,Xg种田钓鱼了
别动小金鱼尾巴,12,小僵尸,fgnb
Sowemiss,14,小肚皮,Xgsb
ccmbeat,24,小肚皮,"肾虚公子他leile<img class=""chat-emotion"" rel=""dy102"" src=""https://shark.douyucdn.cn/app/douyu/res/page/room-normal/face/dy102.png?v=20170626"" />"
wyfjmcool,23,大龙,翔哥WOW被你BAN了？
搬砖小伙,32,小肚皮,欺负xdd怎么了
迷途de馒头,39,小肚皮,翔哥 难受啊
菠蘿箩,19,小僵尸,喂个毛
陪伴肚丶彬酱,28,小肚皮,肚皮怪早上好
Nevermore123321,3,无粉丝牌,你唱你🐴呢
撒把葱花加个蛋丶,19,小僵尸,翔哥，烈女好扎实啊，她跟你谁胖一点啊
继续努力aa,21,小僵尸,炉石新冒险还不错
orochi111,6,无粉丝牌,是的
傻笑是我的爱好,25,小肚皮,翔哥
这可怎么办咕咕咕,19,一发,翔哥n1考完了吗
67373小肚皮,30,小肚皮,炉石炉石
吃了猫罐头的喵,26,二珂,翔哥炉石有新冒险了
CiriCiri,15,小肚皮,解密
墮進風眼樂園,37,无粉丝牌,别玩 翔哥 你会死的
傻笑是我的爱好,25,小肚皮,别碰
喔喔奶牛糖,26,小肚皮,看谁吃的胖
silveryten,33,小烈驴,不是，是解题的
米糕,15,小8路,问下为啥看不了直播？
悦目石佳人,21,小肚皮,？
小肘皮,15,小肚皮,计算能力
叫我信仰就好了,26,小僵尸,？
你是大什么大,12,小僵尸,智力题 你不行的
max19954652461,14,无粉丝牌,Xg炉石新冒险模式，适合你这个数学系天才
天然二,16,无粉丝牌,解密的
没有蜡123,3,无粉丝牌,不是烈女么
十日十月语,18,关关呀,去试试 就知道了
神灯长耀,7,无粉丝牌,对 智力大闯关
萌萌哒的雾,4,无粉丝牌,解谜的，不适合你翔哥
E灬枫,23,小肚皮,解密的
黑皮君221,17,小肚皮,出个jb
倾城丶Herosea大白,11,无粉丝牌,你玩不了
chenyijian110,14,无粉丝牌,别
losEr_iGGY,20,小肚皮,你别玩
hk33152,26,小僵尸,小心zard
黄旭东干死F91,20,猛男,打星际啊
Yuken叫YouCan,16,女流,解题
瞎舔的枫,22,小肚皮,压力拉满
kojimaharuna1,28,无粉丝牌,是闯关
CiriCiri,15,小肚皮,WOW明天7点
Howimeetyou,24,女流,太难了，别问
吃了猫罐头的喵,26,二珂,闯关的
566半仙催婚wei员会,24,小僵尸,翔哥算了。这游戏不适合你
sl1314er,20,小肚皮,6号
chenyijian110,14,无粉丝牌,千万别玩
烟花等等哥丶,14,YJJ,又到了我最最喜欢的午饭时间
Paradoge,10,小僵尸,残局
蟹黄干蒸,27,小肚皮,明天
傻笑是我的爱好,25,小肚皮,以你的智商，做不了
4012713i,23,无粉丝牌,解密  xg算了  别玩
扬鹜,15,集团军,解密的 xg你不合适
我能在海边钓一天鱼,21,小肚皮,不适合翔哥
JIPIdui,19,小肚皮,xg今天就是要实锤自己~
946835119,13,小僵尸,wow被你ban了吗
邻居小赵,20,女流,千万别玩，方丈都圆寂了
米糕,15,小8路,为啥看不了直播请问一下
想变胖的猫头鹰,3,无粉丝牌,那个能玩一天的
E灬枫,23,小肚皮,攻略就完事了
思密达小,24,男一号,再见
a444249051,2,无粉丝牌,sc启动
cy病床一张,28,无粉丝牌,不适合你 求你了 别玩
倾城丶Herosea大白,11,无粉丝牌,算了 翔哥  你玩不了。
小肘皮,15,小肚皮,数学系专属
你是大什么大,12,小僵尸,你别玩  你会卸游戏的
neetlily,16,小肚皮,数学题，不适合你翔哥
幺鸡,21,小僵尸,最棒的冒险！！
切土豆的小突突,11,集团军,没意思
冻猫,28,甜甜白,不冲天梯拯救CNDOTA？
后天明天昨天,18,黑粉,dota2速度启动
chenyijian110,14,无粉丝牌,明年更新
Yuken叫YouCan,16,女流,解题过关
天然二,16,无粉丝牌,翔哥别玩炉石，你玩不了
笑看天际云卷云舒,13,无粉丝牌,解密型 全新版本炉石
多多声控粉素素话痨粉,34,小緑帽,翔哥 比赛看的难受·
怀疑之煞,11,小僵尸,打dota
瞎舔的枫,22,小肚皮,周四更新，wow明天再玩
我能在海边钓一天鱼,21,小肚皮,翔哥你算了
muzeper26,7,无粉丝牌,不适合你
ljlj789,17,无粉丝牌,WOW
CiriCiri,15,小肚皮,我要看翔哥打冒险 下饭
